DeerID,FirstName,LastName,Processor,County_of_Harvest,Harvest_Season,Zone,Sex,Age,Antler_Characteristics,Comments,DMU
1,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
2,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
3,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
4,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
5,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
6,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
7,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
8,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
9,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
10,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
11,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
12,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
13,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
14,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
15,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
16,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
17,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
18,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
19,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
20,Beth,Wojcik,TEST - Remove,Dane,Archery,Farmland,M,4,Forked,,
